NAZIV,ŠIFRA,NETO_KOLIÈINA,JEDINICA_MJERE,PAKIRANJE,MARKA,MALOPRODAJNA_CIJENA,CIJENA_ZA_JEDINICU_MJERE,BARKOD,KATEGORIJA_PROIZVODA,Sidrena_cijena_na_02.05.2025
"Kare,narezani SK2",5300489,0.3,300g,Atmos-Pakiranje,Hatherwood,2.99,9.97,20688400,Hrana,2.99
Gouda listiæi XXL,5500121,0.5,500g,Atmos-Posudica,Pilos,4.99,9.98,20496760,Hrana,4.99
Gouda listiæi XXL,5500121,0.5,500g,Atmos-Posudica,Pilos,4.99,9.98,20980528,Hrana,4.99
Voæni èaj SK6,5500270,0.047,"20x2,1g,20x2,4g,20x2,5g",Kart. na prekl.,Lord Nelson,1.39,1.39,20498153,Piæe,1.39
"Jako pivo 7,2%",5500395,0.5,"0,5l",Limenka,Argus,1.09,2.18,4056489877738,Piæe,1.09
Kocke za juhu SK6,5500632,0.12,120g,Kart. na prekl.,Kania,0.75,6.25,20420628,Hrana,0.75
Svježi filet pileæih prsa,6907295,1,ca. 1kg,Vakumir. pakov.,,5.65,5.65,2895148000000,Hrana,5.25
Vero Svježa grill kobasica pikant,6907297,0.42,420g,Atmos-Pakiranje,,2.49,5.93,3858892095348,Hrana,2.49
Kraš Frondi Vafel kakao i mlijeko,6907301,0.225,225g,Pakovanje,,2.45,10.89,3850102007547,Hrana,2.45
Kraš Frondi Vafel kakao,6907302,0.25,250g,Pakovanje,,2.45,9.8,3850102002245,Hrana,2.45
Corny Müsli ploèica 3 komada,6907327,0.15,150g,Pakovanje,,2.49,16.6,3856027800478,Hrana,2.49
Lino Keksolino Multigrain keksiæi,6907351,0.14,140g,Vrecica,,1.69,12.07,3856020254858,Hrana,1.69
"Jana 6x1,5l",6907364,9,"6x1,5l",PET-Boca,,4.85,0.54,3858890874082,Piæe,4.85
Mix ribe za juhu i brudet,6907405,0.75,750g,Atmos-Pakiranje,-,4.69,6.25,4056489612056,Hrana,4.69
AVIKO Pommes Frites 11x11 ,6907428,2.5,"2,5kg",Vrecica,,6.99,2.8,8710449026104,Hrana,6.99
Krakovi humboldtove lignje,6907458,0.46,460g,Atmos-Pakiranje,Naša ribarnica,3.39,7.37,4056489612254,Hrana,3.39
Eva Tuna salata Balance,6907472,0.16,160g,Limenka,,1.99,12.44,3856020263874,Hrana,1.99
Dar Vegan Desert èok. i lješnjak,6907510,0.5,4x125g,Posudica,,1.99,3.98,3850108028102,Hrana,1.99
"Šibenska pivovara Faust, lager 4,4%",6907520,0.5,"0,5l",Limenka,,1.99,3.98,3857500050991,Piæe,1.99
"Šibenska pivovara Mihovil, bl. ale ",6907522,0.5,"0,5l",Limenka,,1.99,3.98,3857500050977,Piæe,1.99
Meri Merino Tekuæi deterdžent Color,6907527,4.1,4l,Vrecica,,5.59,1.4,3850111105869,Sredstva za èišæenje,5.59
"Cromaris Zubatac, ca. 900g",6907560,1,ca. 900g,Atmos-Pakiranje,,21.99,21.99,2128025000000,Hrana,21.99
BO Domaæi hrskavi zlatni kruh,6907625,0.42,420g,Rasuto,,1.19,2.83,3859892466688,Hrana,1.19
Juicy Fruits Naranèa-nektarina,6907639,1.529,"1,5l",PET-Boca,,1.39,0.93,3858890975123,Piæe,1.39
Flips s kikirikijem,6907642,0.15,150g,Vrecica,Snack Day,0.89,5.93,4056489925200,Hrana,0.89
Palmolive Tekuæi sapun SK1,6907657,0.519,500ml,Vrecica,,2.99,5.98,8003520039545,Kozmetika,2.99
Lumen Lampion s religijskim motivom,6907659,0.29,1komad,Pakovanje,,2.29,2.29,3870634073766,Proizvodi za kuæanstvo,2.29
Proteinski napitak limunada,6907681,0.059,"58,8g",Pakovanje,,12.99,220.92,3830081423828,Hrana,12.99
Proteinski napitak Bazga,6907682,0.062,"61,6g",Pakovanje,,12.99,210.88,3830081423842,Hrana,12.99
Proteinska ploèica vanilija,6907685,0.05,50g,Pakovanje,,2.49,49.8,3830081429028,Hrana,2.49
Proteini limun,6907687,0.2,200g,Pakovanje,,8.89,44.45,3830081425426,Hrana,8.89
Proteini Kreatin,6907688,0.2,200g,Pakovanje,,15.99,79.95,3830069176906,Hrana,15.99
WC Net Gel za odèepljivanje odvoda,6907689,2.32,2x1l,Pakovanje,,4.99,2.5,3858893904731,Sredstva za èišæenje,4.99
Borotalco Dezodorans u spreju SK1,6907698,0.09,150ml,Pakovanje,,3.49,23.27,8002410043587,Kozmetika,3.89
Medni sufle SK2,6907716,0.2,200g,Staklo,,3.25,16.25,0792649827901,Hrana,3.25
"Suha domaæa kobasica, ca. 500g",6907751,1,ca. 500g,Atmos-Pakiranje,,15.99,15.99,2151420000000,Hrana,15.99
"'z bregov Trajno mlijeko 2,8% m.m.",6901025,1,1l,Pakovanje,,1.02,1.02,3850108020908,Hrana,1.02
"Ožujsko Svijetlo pivo 5%, 2l",6901076,2,2l,PET-Boca,,3.62,1.81,3850131001608,Piæe,3.62
"Sauvignon, kvalitetno bijelo vino",6901083,0.743,"0,75l",Boca,Winemakers of Croatia,5.49,7.32,4304493256699,Piæe,5.49
Nivea Krema,6901135,0.242,250ml,Kozm.posudica,,5.15,20.6,4005808158041,Kozmetika,5.15
"Leffe Blond pivo, 6,6%",6901137,0.33,"0,33l",Boca,,1.89,5.73,5410228166665,Piæe,1.89
"Corona svijetlo pivo 4,5%",6901140,0.355,"0,355l",Boca,,2.05,5.77,75032814,Piæe,2.05
Pitroid Sprej protiv leteæih kukaca,6901186,0.28,300ml,Limenka,,3.69,12.3,3856007903625,Proizvodi za kuæanstvo,3.69
"Sok od prešanih jabuka XXL, mutni",6901202,5,5l,Pakovanje,Okusi zavièaja,4.49,0.9,4056489074434,Piæe,4.49
"'z bregov Jogurt 2,8% m.m.",6901294,1.75,"1,75l",PET-Boca,,2.99,1.71,3850108031263,Hrana,2.99
"Kinder Bueno mini, 108g",6901348,0.108,108g,Vrecica,,2.99,27.69,8000500180709,Hrana,2.99
Tuš za oèi SK3 ,0120329,0.006,1komad,Pakovanje,Cien Beauty,2.35,2.35,4056489619833,Kozmetika,2.35
Tradicionalna kobasica Oktoberfest,0120756,0.4,400g,Vakumir. pakov.,Alpenfest,3.99,9.98,20781804,Hrana,3.49
Gumeni bomboni,0120822,0.3,300g,Vrecica,Sweet Corner,1.61,5.37,20724108,Hrana,1.79
BO Hrenovka u lisnatom sa senfom,0120952,0.11,100g,Rasuto,,0.69,6.9,20786519,Hrana,0.69
Proljetna juha s povr. i tjest.,0121215,0.066,66g,Pakovanje,Kania,0.69,10.45,20800055,Hrana,0.69
Gouda mlada,0121223,0.45,450g,Pakovanje,Milbona,5.79,12.87,20800208,Hrana,5.79
Višenamjenske vlažne maramice,0121962,0.498,100komad,Pakovanje,W5,1.49,0.01,4335619082984,Proizvodi za kuæanstvo,1.49
Alkalna baterija AAA,0121965,0.115,10komad,Pakovanje,Tronic,2.25,0.23,4056489617013,Proizvodi za kuæanstvo,2.25
"Deterdž. za rublje 3u1 kapsule, SK1",0179547,0.539,22komad,Box,Formil,5.79,0.26,4056489694168,Sredstva za èišæenje,5.79
Cantuccini XXL SK4,0179716,0.5,500g,Vrecica,Italiamo,2.99,5.98,4056489697398,Hrana,2.99
Sauvignon Blanc Valle Maule,0179749,0.75,"0,75l",Boca,Deluxe,3.99,5.32,4056489686743,Piæe,3.99
Spring rolls SK3 ,0179946,0.4,400g,Kart. na prekl.,Vitasia,2.99,7.48,20138394,Hrana,2.99
"Ulošci s Aloe Vera, SK1",0180483,0.167,"20komad,24komad,28komad",Pakovanje,Siempre,2.09,0.1,4056489713586,Proizvodi za kuæanstvo,2.09
"Ulošci s Aloe Vera, SK1",0180483,0.167,"20komad,24komad,28komad",Pakovanje,Siempre,2.09,0.07,4056489726340,Proizvodi za kuæanstvo,2.09
Cabanossi SK1,0180492,0.2,200g,Vrecica,Dulano,2.99,14.95,4056489713623,Hrana,2.99
Hrana za maèke XXL SK2,0180681,2.4,24x100g,Kart. na prekl.,Coshida,6.99,2.91,20262686,Proizvodi za kuæanstvo,6.99
Talijanska kobasica SK24,0180753,0.1,100g,Atmos-Pakiranje,Deluxe,2.89,28.9,4056489714958,Hrana,2.89
Bio pasirane rajèice s bosiljkom,0182358,0.7,720ml,Boca,Baresa,1.99,2.84,4056489745488,Hrana,1.99
Univerzalno sred. za èišæenje SK1,0182565,1,1l,PET-Boca,W5,1.69,1.69,4056489749653,Sredstva za èišæenje,1.69
Proteinski miks za palaèinke SK1,0182807,0.15,150g,Vrecica,Belbake,2.49,16.6,4056489751397,Hrana,2.49
Easy snack XXL SK1,0183860,0.725,"700g,750g",Pakovanje,Culinea,6.99,9.32,4056489754978,Hrana,6.99
BO Krafna u obliku srca,0184002,0.072,72g,Rasuto,,0.59,8.19,4056489758808,Hrana,0.59
Krema za sunèanje ZF50,0184438,0.103,100ml,Tuba,Cien Sun,3.89,38.9,4056489764137,Kozmetika,3.89
Kotanyi Secrets SK4,0184462,0.035,"25g,30g,35g,38g,40g",Vrecica,,0.79,0.79,9001414010150,Hrana,0.79
Kotanyi Secrets SK4,0184462,0.035,"25g,30g,35g,38g,40g",Vrecica,,0.79,0.79,9001414418109,Hrana,0.79
Èokoladni napitak u prahu SK4,0184572,0.25,250g,Pakovanje,Deluxe,6.69,26.76,20526078,Hrana,6.69
Sir u listiæima sa zaèinima OGT SK2,0185014,0.1,100g,Pakovanje,Milbona,1.49,14.9,4056489781783,Hrana,1.49
"Kapsule za kavu, vanilija",0185267,0.058,58g,Kart. na prekl.,Bellarom,2.29,39.48,4056489787051,Piæe,2.29
Churros cimet,0166104,0.375,375g,Kart. na prekl.,El Tequito,1.99,5.31,4056489482512,Hrana,1.89
Chili con Carne,0166912,0.9,900g,Plitica,El Tequito ,4.49,4.99,4056489494850,Hrana,3.32
Hummus XXL SK1,0167094,0.3,300g,Posudica,Chef Select,1.39,4.63,4009017189001,Hrana,1.39
Kapsule za kavu Espresso XXL RFA,0167111,0.384,3x128g,Pakovanje,Bellarom,9.99,26.02,4056489494768,Piæe,9.99
Wrap punjenje SK1,0167261,0.4,400g,Limenka,El Tequito,2.69,6.73,4056489290834,Hrana,2.69
Family Smoothie SK2,0167992,0.793,"0,75l",PET-Boca,Solevita,3.19,4.25,4304493266735,Hrana,3.19
Lagani snackovi SK8,0168202,0.25,250g,Pakovanje,Culinea,2.79,11.16,20644369,Hrana,2.79
Jogurt SK17,0168449,0.175,175g,Posudica,Milbona,0.89,5.09,4056489404965,Hrana,0.89
Krema za ruke SK7,0168553,0.101,100ml,Tuba,Cien,1.04,10.4,4056489849643,Kozmetika,1.15
BO Muffin od tri vrste èokolade,0129313,0.1,100g,Rasuto,,0.99,9.9,20937416,Hrana,0.99
Riža dugog zrna (12-15min),0129568,1,1kg,Samost.vreca,Golden Sun,1.45,1.45,20941697,Hrana,1.99
Grill sir SK2,0129767,0.2,200g,Pakovanje,Grillmeister,2.19,10.95,20942588,Hrana,2.19
Claudel/Istara Sirni specijaliteti,0130333,0.195,"150g,200g,220g",Pakovanje,,2.99,13.59,3228024090303,Hrana,2.99
Aromat. koktel na bazi vina Mango,0130416,0.75,"0,75l",Boca,Allini,1.95,2.6,4056489654438,Piæe,1.95
Grickalice za pse SK1,0130809,0.16,"100g,150g,200g",Vrecica,Orlando,0.89,8.9,20971571,Proizvodi za kuæanstvo,0.89
MaxxMee Ureðaj za èišæenje pora,0427935,0.21,1ST,Pakovanje,,5,5,4067523022243,Kozmetika,5
Èetka za kosu,0426577,0.102,1ST,Pakovanje,,1,1,4058143058095,Kozmetika,1
Èetka za kosu,0426577,0.102,1ST,Pakovanje,,1,1,4058143058118,Kozmetika,1
Èetka za kosu,0426577,0.102,1ST,Pakovanje,,1,1,4058143058132,Kozmetika,1
Kozmetièko ogledalo,0435638,0.301,1ST,Pakovanje,Cien BEAUTY,3,3,4334036084502,Kozmetika,3
"Svježa teleæa jetra, cca.600g",6903553,1,cca. 600g,Atmos-Pakiranje,,8.49,8.49,2895840000000,Hrana,8.49
Duracell Basic K5 SK2,6903598,0.095,5komad,Pakovanje,,6.49,1.3,5000394047006,Proizvodi za kuæanstvo,6.49
Duracell Basic K5 SK2,6903598,0.095,5komad,Pakovanje,,6.49,1.3,5000394117839,Proizvodi za kuæanstvo,6.49
Ralon Losion poslije brijanja ,6903624,0.085,85ml,Boca,,2.79,32.82,3856007900976,Kozmetika,2.79
Argeta Mesna pašteta SK1,0001041,0.095,95g,Limenka,,1.29,13.58,3838975567030,Hrana,1.39
Èetka za kosu,0437870,0.078,1ST,Pakovanje,Cien BEAUTY,1,1,4335633005594,Kozmetika,1
Tekuæi deterdžent 44pr. SK4,0207266,2.237,"2,2l",PET-Boca,Formil,4.89,2.22,4056489915355,Sredstva za èišæenje,4.89
"Kapsule za pranje rublja 3u1, SK1",0207441,0.598,34x13g,Vrecica,Formil,6.49,14.68,4335619023666,Sredstva za èišæenje,6.49
kinder Mini Eggs Dark & Mild,0207791,0.085,85g,Vrecica,,2.69,31.65,8000500409268,Hrana,2.69
Pasta za zube Trend SK2,0210471,0.06,100ml,Tuba,Dentalux,0.77,7.7,4056489618799,Kozmetika,0.85
Tekuæi sapun,0210532,0.733,750ml,PET-Boca,Cien,1.29,1.72,4335619057920,Kozmetika,Nije_bilo_u_prodaji_02.05.2025
"Käsewelt gouda, cca.3kg",0211915,1,ca. 3kg,Pakovanje,,5.99,5.99,2802217000000,Hrana,5.99
"Käsewelt gouda, cca.3kg",0211915,1,ca. 3kg,Pakovanje,,5.99,5.99,2802218000000,Hrana,5.99
Deluxe Gin Tonic 10%,0212212,0.69,0.750l,Boca,Deluxe,4.59,6.12,4304493271586,Piæe,4.59
Papar u mlincu SK2,0212395,0.087,"90g,85g",Staklo,Deluxe,3.52,39.11,4335619266186,Hrana,3.52
Deterdžent za rublje 100pr SK4,0213225,5.05,5l,PET-Boca,Maxitrat,7.69,7.69,4056489989387,Sredstva za èišæenje,7.69
Cola,0215316,0.518,"0,5l",PET-Boca,Freeway,0.75,1.5,4304493261464,Piæe,0.75
Tart sa sirom/ribanim tijestom SK44,0215581,1.25,1250g,Kart. na prekl.,Alpenfest,5.39,4.31,20193447,Hrana,4.99
Tart sa sirom/ribanim tijestom SK44,0215581,1.25,1250g,Kart. na prekl.,Alpenfest,5.39,4.31,20193454,Hrana,4.99
Veganski torteloni SK2,0215659,0.25,250g,Pakovanje,Vemondo,1.99,7.96,4056489483489,Hrana,1.99
Veganski njoki SK1,0215733,0.5,"400g,600g",Vrecica,Vemondo,1.29,2150,4056489706304,Hrana,1.29
Mileram 22%,6908235,0.3,300g,Posudica,Pilos,1.49,4.97,4056489925767,Hrana,1.49
"Tekuæi jogurt 0,5%",6908236,1,1kg,PET-Boca,Pilos,1.39,1.39,4056489925774,Hrana,1.39
Proteini.si Protein bar Vanilla Ice,6908241,0.05,50g,Pakovanje,,1.15,23,3830081429837,Hrana,1.15
Koestlin Voæne kocke,6908243,0.74,740g,Vrecica,,2.99,4.04,3856014114946,Hrana,2.99
Primax Vreæe za smeæe s vezicom,6908249,0.272,15komad,Traka,,1.69,0.11,3859890458104,Proizvodi za kuæanstvo,1.69
Peèenica,6908255,0.5,500g,Atmos-Pakiranje,Okusi zavièaja,8.49,16.98,4056489925811,Hrana,8.49
Èajna kobasica narezak,6908269,0.25,250g,Atmos-Pakiranje,Pikok,2.85,11.4,4056489925897,Hrana,2.85
Nivea Gel za tuširanje SK1,6908301,0.512,500ml,PET-Boca,,5.99,11.98,9005800282480,Kozmetika,4.49
Nivea Essentiall Krema SK1,6908309,0.051,50ml,PET-Boca,,6.99,139.8,4005900935267,Kozmetika,6.99
Kraš Tortica Lino Lada,6908320,0.021,21g,Pakovanje,,0.55,0.55,3850102008735,Hrana,0.55
Tata Mata Pileæa hrenovka,6908331,0.5,500g,Vakumir. pakov.,,1.99,3.98,3858890933178,Hrana,1.99
Ricola SK1,6908383,0.04,40g,Pakovanje,,1.59,1.59,7610700923092,Hrana,1.59
Podravka Senf Estragon Squeeze,6908449,0.31,310g,PET-Boca,,1.99,6.42,3856020268909,Hrana,1.99
Thomas Henry Wild Berry,6908462,0.75,"0,75l",Boca,,3.99,5.32,4251760801796,Piæe,3.99
Karlovaèko pivo 5% roðendanska boca,6908469,0.505,"0,5l",Boca,,0.99,1.98,3850103902636,Piæe,0.99
"""Karla"" Fuži s tartufima",6908473,0.25,250g,Vrecica,,2.99,11.96,3858881509092,Hrana,2.99
Ledo Quattro Colori Fruit sladoled,6908483,0.75,1500ml,Posudica,,4.49,2.99,3850116064321,Hrana,4.49
Ledo Lignja patagonijska cijela,6908491,0.5,500g,Pakovanje,,5.79,11.58,3850116713250,Hrana,5.79
Lacalut Pasta za zube SK1,6908503,0.091,75ml,Tuba,,4.29,57.2,4016369728680,Kozmetika,4.29
PIK Rijeka Kajzerice 5x50g,6908504,0.25,250g,Rasuto,,0.79,3.16,3850135242656,Hrana,0.79
Kinder Kinderini Keksi,6908535,0.25,250g,Pakovanje,,2.99,11.96,8000500391228,Hrana,2.99
Libresse Ultra Normal hig. ul. XXL,6908562,0.207,40komad,Pakovanje,,2.99,0.07,7322541195032,Proizvodi za kuæanstvo,2.99
Sanitas Set za manikuru- pedikuru,0459908,0.342,1ZSE,Pakovanje,,7,7,4211125853631,Kozmetika,7
Losion za tijelo SK7,0098716,0.412,400ml,PET-Boca,Cien,2.39,5.98,4056489213444,Kozmetika,2.39
Losion za tijelo SK7,0098716,0.412,400ml,PET-Boca,Cien,2.39,5.98,4335619081055,Kozmetika,2.39
BB Krema za lice SK5,0098901,0.052,50ml,Kart. na prekl.,Cien,2.64,52.8,4056489036258,Kozmetika,2.69
Nescafe Dolce Gusto Barista 30kom,0000516,0.21,210g,Kutija,,8.99,42.81,7613036830119,Piæe,8.99
Nescafe Dolce Gusto Esp.Rist. Arden,0000520,0.21,210g,Kutija,,8.99,42.81,7613035762121,Piæe,8.99
Gillette Simply Venus Jedn. brit. ,0000535,0.14,12komad,Pakovanje,,11.89,0.99,7702018070732,Kozmetika,11.89
Always Ultra Quattro ulošci SK,0000536,0.165,"40komad,24komad,28komad,20komad",Pakovanje,,4.99,0.18,8006540903766,Proizvodi za kuæanstvo,4.99
Always Dailies Dnevni ulošci SK,0000537,0.123,"52komad,44komad,58komad",Pakovanje,,2.99,0.07,4015400565574,Proizvodi za kuæanstvo,2.99
Naturella Ultra ulošci SK,0000538,0.148,"40komad,32komad,28komad",Pakovanje,,4.79,0.17,8006540399569,Proizvodi za kuæanstvo,4.79
Gran Cereale Biscutis Classic,0000543,0.25,250g,Stanga,,1.39,5.56,8076809540124,Hrana,1.39
Gillete Venus Sm. St. zam. britvice,0000593,0.039,10komad,Pakovanje,,13.59,1.36,8700216075145,Kozmetika,13.59
Herbal Essences šampon jagoda&metv.,0000616,0.419,400ml,PET-Boca,,4.55,11.38,8006540318614,Kozmetika,4.55
Persil Prašak za pranje rublja Sil.,0000630,6.05,"6,05kg",Nosivo pak.,Henkel,23.99,23.99,9000101806083,Sredstva za èišæenje,23.99
Jar Platinum Plus Tablete za pranje,0000640,1.607,90kom,Pakovanje,,21.99,0.24,8006540816714,Sredstva za èišæenje,21.99
"Ariel kapsule mountain spring, 72k.",0000662,1.578,72komad,Pakovanje,,22.99,0.32,8006540799055,Sredstva za èišæenje,22.99
"Ariel kapsule color fresh, 72kom.",0000663,1.476,72komad,Pakovanje,,22.99,0.32,8001090725769,Sredstva za èišæenje,22.99
Ariel kapsule All in One Plus,0000665,1.368,52kom,Pakovanje,,20.99,0.4,8001090804808,Sredstva za èišæenje,20.99
"Ariel tekuæi deterdžent Color, 74pr",0000667,3.822,"3,7l",PET-Boca,,15.49,4.19,8006540869390,Sredstva za èišæenje,15.49
o.b. ProComfort Tamponi SK,0000678,0.1,32komad,Kart. na prekl.,,6.49,0.2,3574661485218,Proizvodi za kuæanstvo,6.49
Milka kuglice Oreo,0000681,0.086,86g,Samost.vreca,,2.59,30.12,7622210862860,Hrana,2.59
Haribo gumeni bomboni SK1,0000701,0.2,200g,Vrecica,,2.45,12.25,9002975309509,Hrana,2.45
Fa Gel za tuširanje SK4,0000719,0.77,750ml,PET-Boca,Henkel,4.99,6.65,9000101263916,Kozmetika,4.99
Schauma šampon SK2,0000720,0.77,750ml,Dozator,Henkel,6.99,9.32,9000101681123,Kozmetika,6.99
Ledeni èaj breskva,0000801,0.5,"0,5l",PET-Boca,Freeway,0.65,1.3,4056489271758,Piæe,0.65
"Filet lososa s kožom, cca. 200-400g",0124551,1,ca. 200-400g,Pakovanje,-,19.99,19.99,2895631000000,Hrana,19.99
"Filet lososa s kožom, cca. 200-400g",0124551,1,ca. 200-400g,Pakovanje,-,19.99,19.99,2895635000000,Hrana,19.99
Bio Organic Pizza ,0124649,0.421,421g,Kart. na prekl.,Trattoria Alfredo,4.19,9.95,20899226,Hrana,4.19
"Pšenièno pivo 5,5%",0125033,4.026,"6x0,5l",Boca,Perlenbacher,6.09,2.03,20866457,Piæe,6.09
Uljni sprej za sunèanje ZF 20,0125381,0.226,250ml,PET-Boca,Cien,5.99,23.96,4056489368762,Kozmetika,5.99
Èips SK1,0125537,0.2,200g,Vrecica,Eridanous,1.59,7.95,20871840,Hrana,1.59
Tamna i bijela èok. s lješnj. SK43,0126770,0.1,100g,Tabla,Fin Carré,1.59,15.9,20815356,Hrana,1.69
"Ukrasi za lice, kosu i nokte",0458590,0.023,1ST,Pakovanje,Cien BEAUTY,0.5,0.5,4335747045615,Kozmetika,0.5
"Ukrasi za lice, kosu i nokte",0458590,0.023,1ST,Pakovanje,Cien BEAUTY,0.5,0.5,4335747045622,Kozmetika,0.5
"Ukrasi za lice, kosu i nokte",0458590,0.023,1ST,Pakovanje,Cien BEAUTY,0.5,0.5,4335747045646,Kozmetika,0.5
"Ukrasi za lice, kosu i nokte",0458590,0.023,1ST,Pakovanje,Cien BEAUTY,0.5,0.5,4335747045660,Kozmetika,0.5
BBQ kobasice SK1,0195050,0.22,220g,Atmos-Pakiranje,Deluxe,3.03,13.77,4056489904632,Hrana,3.03
Pizza od indijskog kruha,0195157,0.3,300g,Kart. na prekl.,1001 delights,2.99,9.97,4056489905011,Hrana,2.99
BO Èokoladni donut,0195731,0.066,66g,Rasuto,,0.65,9.85,5410683149869,Hrana,0.59
Jogurt s Yuzu SK1,0196202,0.15,150g,Posudica,Vitasia,0.59,3.93,4056489917670,Hrana,0.59
Obrok u boci SK4,0196805,0.5,500ml,PET-Boca,Pilos,2.79,5.58,4304493270312,Hrana,2.79
Obrok u boci SK4,0196805,0.5,500ml,PET-Boca,Pilos,2.79,5.58,4304493270336,Hrana,2.79
Kuskus SK1,0196894,0.09,"89g,90g",Posudica,1001 delights,1.29,14.49,4056489920106,Hrana,1.29
Maramice za èišæenje lica SK2,0197694,0.172,2x25komad,Pakovanje,Cien,1.59,0.03,4056489916307,Proizvodi za kuæanstvo,1.59
Maramice za èišæenje lica SK2,0197694,0.172,2x25komad,Pakovanje,Cien,1.59,0.03,4056489916314,Proizvodi za kuæanstvo,1.59
Curry SK1,0198532,0.262,262g,Pakovanje,Vitasia,3.69,14.08,4056489932642,Hrana,3.21
"Grickalice za maèke, SK4",0198601,0.15,150g,Vrecica,Coshida,1.29,8.6,4056489928232,Proizvodi za kuæanstvo,1.29
High Protein Pizza SK5,0198603,0.367,"354g,379g",Kart. na prekl.,Trattoria Alfredo,3.99,11.27,4056489526285,Hrana,3.99
Tuna u suncokretovom ulju,0200047,0.74,4x185g,Limenka,Nixe,7.99,10.8,4335619174351,Hrana,7.99
Izbor predjela SK3,0200900,0.275,"250g, 300g",Plitica,Eridanous,3.25,13,4335619084414,Hrana,Nije_bilo_u_prodaji_02.05.2025
"Snickers èokoladica, 50g",0201015,0.05,50g,Pakovanje,,0.99,19.8,5000159461122,Hrana,0.99
Veganska pizza Margherita,0201995,0.34,340g,Kart. na prekl.,Vemondo,1.79,5.26,4056489988137,Hrana,1.79
Ketchup,0202079,0.564,500ml,PET-Boca,Kania,1.45,2.9,4056489988656,Hrana,1.59
Kotanyi Zaèini za roštilj,0202883,0.08,80g,Limenka,,1.99,24.88,9001414003299,Hrana,1.99
Kotanyi Quick & Easy SK2,0203026,0.033,"25g,26g,30g,35g,40g",Vrecica,,0.69,0.69,9001414237212,Hrana,0.69
Grèki umaci SK1,0204413,0.19,190g,Staklo,Eridanous,2.14,11.26,4335619011311,Hrana,Nije_bilo_u_prodaji_02.05.2025
Humus SK56,0205149,0.175,175g,Plitica,Chef Select,1.19,6.8,4056489961321,Hrana,1.19
XXL Zaèin za salatu u limenci SK1,0205405,0.154,"140g,155g,160g,165g",Limenka,Kania,2.99,19.29,4335619015241,Hrana,2.99
XXL Zaèin za salatu u limenci SK1,0205405,0.154,"140g,155g,160g,165g",Limenka,Kania,2.99,18.12,4335619015241,Hrana,2.99
Vafli od svj. jaja i pr. okus lje. ,0206423,0.225,225g,Pakovanje,Confiserie Firenze,1.99,8.84,4335619015005,Hrana,1.99
Šampon protiv prhuti SK2,0206574,0.411,400ml,PET-Boca,Cien,1.59,3.98,4056489827177,Kozmetika,1.59
Šampon protiv prhuti SK2,0206574,0.411,400ml,PET-Boca,Cien,1.59,3.98,4056489827184,Kozmetika,1.59
Pro Vitamin Šampon 2u1  SK1,0206650,0.413,400ml,PET-Boca,Cien,2.09,5.23,4056489994244,Kozmetika,2.09
Mlijeèni desert Amerika SK1,0206709,0.5,900ml,Posudica,Bon Gelati,4.49,4.99,4335619021211,Hrana,4.49
Green Story Namaz od povræa SK1,5549128,0.18,180g,Staklo,,1.69,9.39,5900012012419,Hrana,1.69
Skarby Serowara Sir u komadu SK2,5549887,0.18,180g,Pakovanje,,2.99,16.61,5900857011233,Hrana,2.89
Voæni mousse XXL SK5,5550523,0.2,200g,Vrecica,Freshona,0.99,4.95,4056489584384,Hrana,0.99
Mlij. èok. kik. i grožð./draže SK2,5553479,0.1,100g,Tabla,,1.09,10.9,5904358566612,Hrana,1.19
"Gel za tuširanje, SK2",5554705,1.025,1l,Pakovanje,Cien,1.61,1.61,4056489783695,Kozmetika,1.89
Gotovo jelo SK2,5555400,0.4,400g,Atmos-Posudica,Kuljanka,2.19,5.48,4056489784692,Hrana,2.19
"Gel za intimnu njegu, SK2",5556056,0.41,400ml,Pakovanje,Siempre,1.69,4.23,4056489785354,Kozmetika,1.69
Bellona vafl s kremom,5557512,0.046,46g,Pakovanje,Mister Choc,0.69,0.69,4056489811640,Hrana,0.69
Fin Carré Berliner s ml. i oraš.,5557895,0.09,90g,Rasuto,,0.89,9.89,4056489812708,Hrana,0.89
Gel za pranje rublja SK1,5560585,2.07,"1,98l",PET-Boca,Formil,4.29,2.17,4056489881476,Sredstva za èišæenje,4.29
Sred. za pra. posuð. u gel kon. SK1,5564310,1.03,1l,PET-Boca,W5,1.79,1.79,4335619007093,Sredstva za èišæenje,1.79
Gel za tuširanje XXL SK1,5565737,1,1000ml,Pakovanje,Cien,1.99,1.99,4335619035027,Kozmetika,1.99
Èaj u vreæici SK2,5566453,0.076,"40x1,7g,40x2g",Limenka,Deluxe,2.59,38.09,20690786,Piæe,2.59
Voæni sapun SK2,5568852,0.09,90g,Pakovanje,Cien,0.35,3.89,4335619189492,Kozmetika,0.35
Krem sapun SK1,5568858,0.15,150g,Pakovanje,Cien,0.79,5.27,4335619189539,Kozmetika,Nije_bilo_u_prodaji_02.05.2025
Pribor za manikuru-pedikuru,0444728,0.04,1ST,Pakovanje,Cien BEAUTY,0.5,0.5,4335747006791,Kozmetika,0.5
Sušilo za kosu,0444780,0.593,1ST,Pakovanje,Silvercrest Personal Care,7,7,4335747009099,Kozmetika,7
