NAZIV,ŠIFRA,NETO_KOLIÈINA,JEDINICA_MJERE,PAKIRANJE,MARKA,MALOPRODAJNA_CIJENA,CIJENA_ZA_JEDINICU_MJERE,BARKOD,KATEGORIJA_PROIZVODA,Sidrena_cijena_na_02.05.2025
Tic Tac SK5,0005761,0.018,18g,Pakovanje,,0.79,0.79,80052043,Hrana,0.79
Svinjsko mljeveno meso,0005811,0.45,450g,Atmos-Pakiranje,Naša mesnica,1.83,4.07,20446109,Hrana,1.83
Sensodyne Pasta za zube SK2,0005894,0.075,75ml,Tuba,,3.95,52.67,3800132250574,Kozmetika,3.95
Schauma šampon sort.,0005896,0.52,400ml,Boca,,3.17,7.93,4015000910750,Kozmetika,3.17
Schauma šampon sort.,0005896,0.52,400ml,Boca,,3.17,7.93,4015001005455,Kozmetika,3.17
Schauma šampon sort.,0005896,0.52,400ml,Boca,,3.17,7.93,4015001005684,Kozmetika,3.17
Schauma šampon sort.,0005896,0.52,400ml,Boca,,3.17,7.93,4015100197006,Kozmetika,3.17
Schauma šampon sort.,0005896,0.52,400ml,Boca,,3.17,7.93,4015100216493,Kozmetika,3.17
Schauma šampon sort.,0005896,0.52,400ml,Boca,,3.17,7.93,4015100216530,Kozmetika,3.17
"Orbit White žvakaæe gume sort., 14g",0005954,0.014,14g,Pakovanje,Mars,0.99,0.99,42069980,Hrana,0.99
Nivea Dezodorans roler SK1,0005958,0.052,50ml,Pakovanje,,3.95,79,4005900036070,Kozmetika,3.95
Nivea Dezodorans roler SK1,0005958,0.052,50ml,Pakovanje,,3.95,79,42241553,Kozmetika,3.95
Raid Sprej protiv mravi i žohara,0006231,0.315,300ml,Limenka,,5.59,18.63,8002030142875,Proizvodi za kuæanstvo,5.59
Amadori Svježi pureæi batak vp,0006274,1,cca. 1000g,Vakumir. pakov.,,2.39,2.39,2118912000000,Hrana,2.39
Kruškovac 25% vol.,0006304,1.08,1l,Boca,Alliance,7.89,7.89,4304493259294,Piæe,7.89
Ritter Sport SK17,0006343,0.1,100g,Tabla,Ritter,1.79,17.9,4000417023001,Hrana,1.79
Ritter Sport SK17,0006343,0.1,100g,Tabla,Ritter,1.79,17.9,4000417024008,Hrana,1.79
Ritter Sport SK17,0006343,0.1,100g,Tabla,Ritter,1.79,17.9,4000417222008,Hrana,1.79
Ritter Sport SK17,0006343,0.1,100g,Tabla,Ritter,1.79,17.9,4000417306005,Hrana,1.79
Èips slani,0006374,0.25,250g,Vrecica,Snack Day,1.59,6.36,20538996,Hrana,1.59
Pikant salama narezak,0006388,0.1,100g,Atmos-Pakiranje,Pikok,1.29,12.9,20491826,Hrana,1.29
Barcaffe mljevena kava Classic,0006449,0.5,500g,Vrecica,,5.99,11.98,3838471021272,Piæe,5.99
"Svježa pileæa leða, cca. 750g",0006457,1,ca. 750g,Atmos-Pakiranje,Naša mesnica,1.69,1.69,2852036000000,Hrana,1.69
"Svježa pileæa leða, cca. 750g",0006457,1,ca. 750g,Atmos-Pakiranje,Naša mesnica,1.69,1.69,2852037000000,Hrana,1.69
Danone Actimel BA 4x100g,0006461,0.4,4x100g,PET-Boca,Danone,1.59,3.98,8595002107182,Hrana,1.59
"Svježa pileæa prsa, bk sk, cca 500g",0006488,1,ca. 500g,Atmos-Pakiranje,Naša mesnica,5.89,5.89,2852055000000,Hrana,5.89
